Date,^DJI,^GSPC,^IXIC,^RUA
02-01-1992,3172.399902,417.2600098,586.4500122,232.2899933
03-01-1992,3201.5,419.3399963,592.6500244,235.5800018
06-01-1992,3200.100098,417.9599915,597.9000244,235.3500061
07-01-1992,3204.800049,417.3999939,602.289978,235.3699951
08-01-1992,3203.899902,418.1000061,610.3200073,236.1199951
09-01-1992,3209.5,417.6099854,619.7999878,236.3999939
10-01-1992,3199.5,415.1000061,615.7000122,234.9799957
13-01-1992,3185.600098,414.3399963,617.6300049,234.4900055
14-01-1992,3246.199951,420.4400024,625.75,237.7400055
15-01-1992,3258.5,420.769989,630.8200073,238.3999939
16-01-1992,3249.600098,418.2099915,627.3400269,236.9499969
17-01-1992,3265,418.8599854,626.8499756,237.1499939
20-01-1992,3254,416.3599854,619.3800049,235.6000061
21-01-1992,3223.399902,412.6400146,604.8699951,233.1300049
22-01-1992,3255.800049,418.1300049,620.6799927,236.3500061
23-01-1992,3226.699951,414.9599915,622.8599854,235.1600037
24-01-1992,3232.800049,415.480011,624.6799927,235.4600067
27-01-1992,3240.600098,414.9899902,621,235.1199951
28-01-1992,3272.100098,414.9599915,621.289978,235.1399994
29-01-1992,3225,410.3399963,616.3099976,232.8099976
30-01-1992,3244.899902,411.6199951,621.3699951,233.6399994
31-01-1992,3223.399902,408.7799988,620.210022,232.4199982
03-02-1992,3234.100098,409.5299988,623.4299927,232.8800049
04-02-1992,3272.800049,413.8500061,631,235.2799988
05-02-1992,3257.600098,413.8399963,636.9699707,235.6600037
06-02-1992,3255.600098,413.8200073,637.6699829,235.7100067
07-02-1992,3225.399902,411.0899963,634.9500122,234.2700043
10-02-1992,3245.100098,413.769989,634.1300049,235.4600067
11-02-1992,3251.600098,413.7600098,633.3699951,235.5299988
12-02-1992,3276.800049,417.1300049,644.9199829,237.5800018
13-02-1992,3246.699951,413.6900024,639.0999756,235.6799927
14-02-1992,3246,412.480011,636.4299927,235.0399933
18-02-1992,3224.699951,407.3800049,626.4099731,232.2899933
19-02-1992,3230.300049,408.2600098,622.4099731,232.3600006
20-02-1992,3280.600098,413.8999939,632.2299805,235.4100037
21-02-1992,3280.199951,411.4299927,629.75,234.2200012
