Date,^GSPC,^IXIC,^DJI
02-01-1992,18.95,,
03-01-1992,18.75,,
06-01-1992,18.96,,
07-01-1992,19.23,,
08-01-1992,18.72,,
09-01-1992,18.96,,
10-01-1992,18.45,,
13-01-1992,18.01,,
14-01-1992,17.01,,
15-01-1992,17.39,,
16-01-1992,17.64,,
17-01-1992,16.32,,
20-01-1992,16.42,,
21-01-1992,17.92,,
22-01-1992,16.75,,
23-01-1992,16.46,,
24-01-1992,16.24,,
27-01-1992,16.67,,
28-01-1992,17.67,,
29-01-1992,17.62,,
30-01-1992,17.49,,
31-01-1992,17.4,,
03-02-1992,18.2,,
04-02-1992,17.96,,
05-02-1992,18.22,,
06-02-1992,18.79,,
07-02-1992,18.51,,
10-02-1992,18.56,,
11-02-1992,17.7,,
12-02-1992,17.37,,
13-02-1992,17.45,,
14-02-1992,17.03,,
18-02-1992,18.22,,
19-02-1992,17.16,,
20-02-1992,16.72,,
21-02-1992,16.87,,
24-02-1992,17.13,,
25-02-1992,16.35,,
26-02-1992,16.64,,
27-02-1992,16.51,,
28-02-1992,16.68,,
02-03-1992,16.88,,
03-03-1992,17.26,,
04-03-1992,17.89,,
05-03-1992,18.47,,
06-03-1992,19.75,,
09-03-1992,19.68,,
10-03-1992,18.68,,
11-03-1992,19.79,,
12-03-1992,19.72,,
13-03-1992,18.35,,
16-03-1992,18.46,,
17-03-1992,16.79,,
18-03-1992,16.69,,
19-03-1992,16.52,,
20-03-1992,16.82,,
23-03-1992,16.73,,
24-03-1992,16.32,,
25-03-1992,16.19,,
26-03-1992,16.29,,
27-03-1992,16.02,,
30-03-1992,15.97,,
31-03-1992,16.18,,
01-04-1992,16.48,,
02-04-1992,17.06,,
03-04-1992,16.72,,
06-04-1992,16.72,,
07-04-1992,18.81,,
08-04-1992,20.15,,
09-04-1992,17.89,,
10-04-1992,16.85,,
13-04-1992,16.99,,
14-04-1992,15.98,,
15-04-1992,15.15,,
16-04-1992,14.85,,
20-04-1992,15.93,,
21-04-1992,16.53,,
22-04-1992,15.96,,
23-04-1992,15.83,,
24-04-1992,15.71,,
27-04-1992,16.49,,
28-04-1992,16.24,,
29-04-1992,15.95,,
30-04-1992,15.53,,
01-05-1992,16.61,,
04-05-1992,16.92,,
05-05-1992,16.66,,
06-05-1992,16.81,,
07-05-1992,16.54,,
08-05-1992,15.65,,
11-05-1992,15.17,,
12-05-1992,15.68,,
13-05-1992,15.19,,
14-05-1992,15.49,,
15-05-1992,14.82,,
18-05-1992,14.62,,
19-05-1992,13.57,,
20-05-1992,13.62,,
21-05-1992,13.92,,
22-05-1992,13.73,,
26-05-1992,14.92,,
27-05-1992,13.99,,
28-05-1992,13.77,,
29-05-1992,13.86,,
01-06-1992,14.43,,
02-06-1992,14.57,,
03-06-1992,14.35,,
04-06-1992,13.66,,
05-06-1992,14.65,,
08-06-1992,15.19,,
09-06-1992,15.97,,
10-06-1992,16.62,,
11-06-1992,16.29,,
12-06-1992,14.95,,
15-06-1992,14.76,,
16-06-1992,15.22,,
17-06-1992,18.08,,
18-06-1992,18.2,,
19-06-1992,16.31,,
22-06-1992,16.66,,
23-06-1992,14.53,,
24-06-1992,14.4,,
25-06-1992,14.4,,
26-06-1992,14.67,,
29-06-1992,13.21,,
30-06-1992,13.35,,
01-07-1992,13.34,,
02-07-1992,13.88,,
06-07-1992,14.87,,
07-07-1992,15.83,,
08-07-1992,15.53,,
09-07-1992,14.6,,
10-07-1992,13.7,,
13-07-1992,14.01,,
14-07-1992,13.5,,
15-07-1992,12.52,,
16-07-1992,12.27,,
17-07-1992,12.6,,
20-07-1992,12.66,,
21-07-1992,12.6,,
22-07-1992,13.57,,
23-07-1992,13.33,,
24-07-1992,13.37,,
27-07-1992,13.9,,
28-07-1992,13.05,,
29-07-1992,13.44,,
30-07-1992,13.5,,
31-07-1992,13.17,,
03-08-1992,13.83,,
04-08-1992,13.58,,
05-08-1992,13.82,,
06-08-1992,14.23,,
07-08-1992,13.94,,
10-08-1992,14.51,,
11-08-1992,15.09,,
12-08-1992,14.88,,
13-08-1992,15.34,,
14-08-1992,14.66,,
17-08-1992,14.61,,
18-08-1992,13.84,,
19-08-1992,14.35,,
20-08-1992,14.48,,
21-08-1992,15.01,,
24-08-1992,16.19,,
25-08-1992,15.62,,
26-08-1992,14.5,,
27-08-1992,13.66,,
28-08-1992,13.14,,
31-08-1992,13.58,,
01-09-1992,13.4,,
02-09-1992,12.73,,
03-09-1992,12.88,,
04-09-1992,12.98,,
08-09-1992,13.65,,
09-09-1992,13.36,,
10-09-1992,12.92,,
11-09-1992,12.47,,
