Date,^GSPC_Signal,^IXIC_Signal,capital
2010-01-04,1.0,1.0,-3441.409912109375
2010-01-05,1.0,1.0,-6886.639892578125
2010-01-06,1.0,1.0,-10324.869995117188
2010-01-07,1.0,1.0,-13766.609985351562
2010-01-08,1.0,1.0,-17228.759887695312
2010-01-11,1.0,1.0,-20688.149780273438
2010-01-12,1.0,1.0,-24106.679809570312
2010-01-13,1.0,1.0,-27560.259765625
2010-01-14,1.0,1.0,-31025.459716796875
2010-01-15,1.0,1.0,-34449.479736328125
2010-01-19,1.0,1.0,-37920.109619140625
2010-01-20,1.0,1.0,-41349.399658203125
2010-01-21,1.0,1.0,-44731.57958984375
2010-01-22,1.0,1.0,-48028.629638671875
2010-01-25,1.0,1.0,-51336.209716796875
2010-01-26,1.0,1.0,-54632.10974121094
2010-01-27,1.0,1.0,-57951.01965332031
2010-01-28,1.0,1.0,-61214.54968261719
2010-01-29,1.0,1.0,-64435.769775390625
2010-02-01,1.0,1.0,-67696.15966796875
2010-02-02,1.0,1.0,-70989.53967285156
2010-02-03,1.0,1.0,-74277.72961425781
2010-02-04,1.0,1.0,-77466.26953125
2010-02-05,1.0,1.0,-80673.57958984375
2010-02-08,1.0,1.0,-83856.36962890625
2010-02-09,1.0,1.0,-87077.759765625
2010-02-10,1.0,1.0,-90293.75988769531
2010-02-11,1.0,1.0,-93549.63977050781
2010-02-12,1.0,1.0,-96808.67980957031
2010-02-16,1.0,1.0,-100117.73974609375
2010-02-17,1.0,1.0,-103443.53979492188
2010-02-18,1.0,1.0,-106791.99975585938
2010-02-19,1.0,1.0,-110145.03991699219
2010-02-22,1.0,1.0,-113495.07995605469
2010-02-23,1.0,1.0,-116803.11987304688
2010-02-24,1.0,1.0,-120144.259765625
2010-02-25,1.0,1.0,-123481.41967773438
2010-02-26,1.0,1.0,-126824.16967773438
2010-03-01,1.0,1.0,-130213.44970703125
2010-03-02,1.0,1.0,-133612.5498046875
2010-03-03,1.0,1.0,-137012.01977539062
2010-03-04,1.0,1.0,-140427.2998046875
2010-03-05,1.0,1.0,-143892.34985351562
2010-03-08,1.0,1.0,-147363.05981445312
2010-03-09,1.0,1.0,-150844.18969726562
2010-03-10,1.0,1.0,-154348.74963378906
2010-03-11,1.0,1.0,-157867.44958496094
2010-03-12,1.0,1.0,-161385.0994873047
2010-03-15,1.0,1.0,-164897.8194580078
