Date,^GSPC_Signal,^IXIC_Signal,capital
1992-01-23,1.0,1.0,-937.8199768066406
1992-01-24,1.0,1.0,-1977.97998046875
1992-01-27,1.0,1.0,-3013.969970703125
1992-01-28,1.0,1.0,-4050.219940185547
1992-01-29,1.0,1.0,-5076.869934082031
1992-01-30,1.0,1.0,-6109.859924316406
1992-01-31,1.0,1.0,-7138.849945068359
1992-02-03,1.0,1.0,-8171.8099365234375
1992-02-04,1.0,1.0,-9216.659942626953
1992-02-05,1.0,1.0,-10267.469909667969
1992-02-06,1.0,1.0,-11318.959899902344
1992-02-07,1.0,1.0,-12364.999908447266
1992-02-10,1.0,1.0,-13412.89990234375
1992-02-11,1.0,1.0,-14460.029907226562
1992-02-12,1.0,1.0,-15522.079895019531
1992-02-13,1.0,1.0,-16574.869873046875
1992-02-14,1.0,1.0,-17623.779876708984
1992-02-18,1.0,1.0,-18657.569854736328
1992-02-19,1.0,1.0,-19688.239837646484
1992-02-20,1.0,1.0,-20734.36981201172
1992-02-21,1.0,1.0,-21775.5498046875
1992-02-24,1.0,1.0,-22812.749786376953
1992-02-25,1.0,1.0,-23844.599822998047
1992-02-26,1.0,1.0,-24892.349853515625
1992-02-27,1.0,1.0,-25940.15985107422
1992-02-28,1.0,1.0,-26986.329833984375
1992-03-02,1.0,1.0,-28034.24981689453
1992-03-03,1.0,1.0,-29081.349822998047
1992-03-04,1.0,1.0,-30120.969787597656
1992-03-05,1.0,1.0,-31149.449768066406
1992-03-06,1.0,1.0,-32169.839782714844
1992-03-09,1.0,1.0,-33190.86978149414
1992-03-10,1.0,1.0,-34221.219818115234
1992-03-11,1.0,1.0,-35242.38983154297
1992-03-12,1.0,1.0,-36262.19982910156
1992-03-13,1.0,1.0,-37286.65982055664
1992-03-16,1.0,1.0,-38310.989837646484
1992-03-17,1.0,1.0,-39343.83984375
1992-03-18,1.0,1.0,-40377.92984008789
1992-03-19,1.0,1.0,-41413.689849853516
1992-03-20,1.0,1.0,-42449.26986694336
1992-03-23,1.0,1.0,-43481.00988769531
1992-03-24,1.0,1.0,-44508.569885253906
1992-03-25,1.0,1.0,-45535.56985473633
1992-03-26,1.0,1.0,-46558.82986450195
1992-03-27,1.0,1.0,-47566.99984741211
1992-03-30,1.0,1.0,-48572.06985473633
1992-03-31,1.0,1.0,-49579.529876708984
1992-04-01,1.0,1.0,-50585.84991455078
1992-04-02,1.0,1.0,-51580.169921875
1992-04-03,1.0,1.0,-52571.729919433594
1992-04-06,1.0,1.0,-53573.60989379883
1992-04-07,1.0,1.0,-54553.279876708984
1992-04-08,1.0,1.0,-55521.459869384766
1992-04-09,1.0,1.0,-56508.8498840332
1992-04-10,1.0,1.0,-57497.3798828125
1992-04-13,1.0,1.0,-58491.60989379883
1992-04-14,1.0,1.0,-59498.80990600586
1992-04-15,1.0,1.0,-60515.11993408203
1992-04-16,1.0,1.0,-61522.96994018555
1992-04-20,1.0,1.0,-62510.34994506836
1992-04-21,1.0,1.0,-63495.65994262695
1992-04-22,1.0,1.0,-64483.6999206543
1992-04-23,1.0,1.0,-65471.34991455078
1992-04-24,1.0,1.0,-66453.25991821289
1992-04-27,1.0,1.0,-67428.64993286133
1992-04-28,1.0,1.0,-68398.08993530273
1992-04-29,1.0,1.0,-69380.04992675781
1992-04-30,1.0,1.0,-70373.67993164062
1992-05-01,1.0,1.0,-71364.34994506836
1992-05-04,1.0,1.0,-72364.79992675781
1992-05-05,1.0,1.0,-73369.70993041992
1992-05-06,1.0,1.0,-74375.8599243164
1992-05-07,1.0,1.0,-75378.86990356445
1992-05-08,1.0,1.0,-76380.67990112305
1992-05-11,1.0,1.0,-77386.29989624023
1992-05-12,1.0,1.0,-78386.54992675781
1992-05-13,1.0,1.0,-79385.37994384766
1992-05-14,1.0,1.0,-80374.97998046875
1992-05-15,1.0,1.0,-81359.49996948242
1992-05-18,1.0,1.0,-82348.83999633789
1992-05-19,1.0,1.0,-83343.25997924805
1992-05-20,1.0,1.0,-84338.93997192383
1992-05-21,1.0,1.0,-85330.63995361328
1992-05-22,1.0,1.0,-86324.95993041992
1992-05-26,1.0,1.0,-87312.0199584961
1992-05-27,1.0,1.0,-88301.53994750977
1992-05-28,1.0,1.0,-89298.76992797852
1992-05-29,1.0,1.0,-90299.42993164062
1992-06-01,1.0,1.0,-91305.09991455078
