KYTREASNOX,TIDXFAM,CALDT,TDYTM,TDBID,TDASK
2000001,RISKFREE,,,,
2000002,RISKFREE,,,,
2000003,FIXEDTERM,20200102,1.6104194552164E+00,1.0084375000000E+02,1.0088281250000E+02
2000003,FIXEDTERM,20200103,1.5844911737098E+00,1.0086718750000E+02,1.0090625000000E+02
2000003,FIXEDTERM,20200106,1.6006434112184E+00,1.0084375000000E+02,1.0088281250000E+02
2000003,FIXEDTERM,20200107,1.5981663309404E+00,1.0084375000000E+02,1.0088281250000E+02
2000003,FIXEDTERM,20200108,1.6036190756861E+00,1.0083593750000E+02,1.0087500000000E+02
2000003,FIXEDTERM,20200109,1.6170689353455E+00,1.0082031250000E+02,1.0085937500000E+02
2000003,FIXEDTERM,20200110,1.5906539279316E+00,1.0084375000000E+02,1.0088281250000E+02
2000003,FIXEDTERM,20200113,1.6071805327551E+00,1.0082031250000E+02,1.0085937500000E+02
2000003,FIXEDTERM,20200114,1.6046742987810E+00,1.0082031250000E+02,1.0085937500000E+02
2000003,FIXEDTERM,20200115,1.6183562858616E+00,1.0080468750000E+02,1.0084375000000E+02
2000003,FIXEDTERM,20200116,1.5793140997384E+00,1.0083593750000E+02,1.0088281250000E+02
2000003,FIXEDTERM,20200117,1.6133651296500E+00,1.0080468750000E+02,1.0084375000000E+02
2000003,FIXEDTERM,20200121,1.5949741601534E+00,1.0081250000000E+02,1.0085156250000E+02
2000003,FIXEDTERM,20200122,1.5675906606037E+00,1.0083593750000E+02,1.0087500000000E+02
2000003,FIXEDTERM,20200123,1.5566231446998E+00,1.0084375000000E+02,1.0088281250000E+02
2000003,FIXEDTERM,20200124,1.5788278532687E+00,1.0082031250000E+02,1.0085937500000E+02
2000003,FIXEDTERM,20200127,1.5414504998560E+00,1.0084375000000E+02,1.0089062500000E+02
2000003,FIXEDTERM,20200128,1.5386530270394E+00,1.0084375000000E+02,1.0089062500000E+02
2000003,FIXEDTERM,20200129,1.5358393437551E+00,1.0084375000000E+02,1.0089062500000E+02
2000003,FIXEDTERM,20200130,1.4992002887843E+00,1.0087500000000E+02,1.0092187500000E+02
2000003,FIXEDTERM,20200131,1.4987099114264E+00,1.0096093750000E+02,1.0100000000000E+02
2000003,FIXEDTERM,20200203,1.4983570657020E+00,1.0095312500000E+02,1.0099218750000E+02
2000003,FIXEDTERM,20200204,1.5309456966973E+00,1.0091406250000E+02,1.0096093750000E+02
2000003,FIXEDTERM,20200205,1.5479750653515E+00,1.0089843750000E+02,1.0093750000000E+02
2000003,FIXEDTERM,20200206,1.5256245308231E+00,1.0091406250000E+02,1.0096093750000E+02
2000003,FIXEDTERM,20200207,1.5387743152607E+00,1.0089843750000E+02,1.0094531250000E+02
2000003,FIXEDTERM,20200210,1.5108170452386E+00,1.0092187500000E+02,1.0096093750000E+02
2000003,FIXEDTERM,20200211,1.5360777404640E+00,1.0089062500000E+02,1.0093750000000E+02
2000003,FIXEDTERM,20200212,1.5414152118698E+00,1.0088281250000E+02,1.0092968750000E+02
2000003,FIXEDTERM,20200213,1.5427578855182E+00,1.0088281250000E+02,1.0092187500000E+02
2000003,FIXEDTERM,20200214,1.5360355281977E+00,1.0088281250000E+02,1.0092968750000E+02
2000003,FIXEDTERM,20200218,1.4965263837514E+00,1.0091406250000E+02,1.0095312500000E+02
2000003,FIXEDTERM,20200219,1.4813958401657E+00,1.0092187500000E+02,1.0096875000000E+02
