Date,SPY,QQQ,IWV
1993-01-29,25.218212,,
1993-02-01,25.397577,,
1993-02-02,25.451399,,
1993-02-03,25.720438,,
1993-02-04,25.828045,,
1993-02-05,25.810118,,
1993-02-08,25.810118,,
1993-02-09,25.630753,,
1993-02-10,25.666634,,
1993-02-11,25.792177,,
1993-02-12,25.594893,,
1993-02-16,24.949198,,
1993-02-17,24.931234,,
1993-02-18,24.913301,,
1993-02-19,25.002993,,
1993-02-22,25.092669,,
1993-02-23,25.074741,,
1993-02-24,25.397577,,
1993-02-25,25.451399,,
1993-02-26,25.487268,,
1993-03-01,25.415529,,
1993-03-02,25.792177,,
1993-03-03,25.89979,,
1993-03-04,25.756317,,
1993-03-05,25.68457,,
1993-03-08,26.258541,,
1993-03-09,26.168844,,
1993-03-10,26.222651,,
1993-03-11,26.150904,,
1993-03-12,25.881861,,
1993-03-15,26.007421,,
1993-03-16,26.007421,,
1993-03-17,25.845995,,
1993-03-18,26.007421,,
1993-03-19,25.968048,,
1993-03-22,25.823885,,
1993-03-23,25.877945,,
1993-03-24,25.877945,,
1993-03-25,26.040148,,
1993-03-26,25.895992,,
1993-03-29,26.004103,,
1993-03-30,26.076178,,
1993-03-31,26.058159,,
1993-04-01,25.968048,,
1993-04-02,25.427435,,
1993-04-05,25.553585,,
1993-04-06,25.481487,,
1993-04-07,25.571602,,
1993-04-08,25.535547,,
1993-04-12,25.895992,,
1993-04-13,25.950026,,
1993-04-14,25.913998,,
1993-04-15,25.913998,,
1993-04-16,25.913998,,
1993-04-19,25.805864,,
1993-04-20,25.679728,,
1993-04-21,25.661701,,
1993-04-22,25.337328,,
1993-04-23,25.229208,,
1993-04-26,25.030983,,
1993-04-27,25.301291,,
1993-04-28,25.247225,,
1993-04-29,25.35535,,
1993-04-30,25.391392,,
1993-05-03,25.553585,,
1993-05-04,25.643684,,
1993-05-05,25.715763,,
1993-05-06,25.62565,,
1993-05-07,25.571602,,
1993-05-10,25.62565,,
1993-05-11,25.733784,,
1993-05-12,25.697735,,
1993-05-13,25.391392,,
1993-05-14,25.373369,,
1993-05-17,25.463474,,
1993-05-18,25.445452,,
1993-05-19,25.968048,,
1993-05-20,26.040148,,
1993-05-21,25.805864,,
1993-05-24,25.913998,,
