Date,vixo,vxno,vxdo
19920102,19.69,,
19920102,19.69,,
19920103,17.04,,
19920103,17.04,,
19920106,16.23,,
19920106,16.23,,
19920107,20.30,,
19920107,20.30,,
19920108,17.53,,
19920108,17.53,,
19920109,17.58,,
19920109,17.58,,
19920110,18.50,,
19920110,18.50,,
19920113,19.05,,
19920113,19.05,,
19920114,17.73,,
19920114,17.73,,
19920115,17.81,,
19920115,17.81,,
19920116,18.43,,
19920116,18.43,,
19920117,16.59,,
19920117,16.59,,
19920120,16.57,,
19920120,16.57,,
19920121,16.74,,
19920121,16.74,,
19920122,17.54,,
19920122,17.54,,
19920123,15.48,,
19920123,15.48,,
19920124,16.23,,
19920124,16.23,,
19920127,16.15,,
19920127,16.15,,
19920128,17.07,,
19920128,17.07,,
19920129,16.57,,
19920129,16.57,,
19920130,16.87,,
19920130,16.87,,
19920131,14.16,,
19920131,14.16,,
19920203,17.08,,
19920203,17.08,,
19920204,17.16,,
19920204,17.16,,
19920205,18.15,,
19920205,18.15,,
19920206,18.80,,
19920206,18.80,,
19920207,18.43,,
19920207,18.43,,
19920210,19.24,,
19920210,19.24,,
19920211,19.24,,
19920211,19.24,,
19920212,18.22,,
19920212,18.22,,
19920213,15.42,,
19920213,15.42,,
19920214,17.52,,
19920214,17.52,,
19920218,17.79,,
19920218,17.79,,
19920219,17.79,,
19920219,17.79,,
19920220,15.66,,
19920220,15.66,,
19920221,15.75,,
19920221,15.75,,
19920224,17.47,,
19920224,17.47,,
19920225,15.86,,
19920225,15.86,,
19920226,15.66,,
19920226,15.66,,
19920227,16.97,,
19920227,16.97,,
19920228,15.34,,
19920228,15.34,,
19920302,17.44,,
19920302,17.44,,
19920303,17.36,,
19920303,17.36,,
19920304,17.82,,
19920304,17.82,,
19920305,18.57,,
19920305,18.57,,
19920306,18.25,,
19920306,18.25,,
19920309,20.67,,
19920309,20.67,,
19920310,19.62,,
19920310,19.62,,
19920311,19.23,,
19920311,19.23,,
19920312,19.47,,
19920312,19.47,,
19920313,18.39,,
19920313,18.39,,
19920316,19.13,,
19920316,19.13,,
19920317,17.78,,
19920317,17.78,,
19920318,16.95,,
19920318,16.95,,
19920319,16.73,,
19920319,16.73,,
19920320,16.73,,
19920320,16.73,,
19920323,17.63,,
19920323,17.63,,
19920324,16.27,,
19920324,16.27,,
19920325,16.41,,
19920325,16.41,,
19920326,16.55,,
19920326,16.55,,
19920327,15.88,,
19920327,15.88,,
19920330,16.43,,
19920330,16.43,,
19920331,16.45,,
19920331,16.45,,
19920401,16.93,,
19920401,16.93,,
19920402,16.25,,
19920402,16.25,,
19920403,18.22,,
19920403,18.22,,
19920406,17.18,,
19920406,17.18,,
19920407,17.26,,
19920407,17.26,,
19920408,20.06,,
19920408,20.06,,
19920409,18.95,,
19920409,18.95,,
19920410,17.39,,
19920410,17.39,,
19920413,17.42,,
19920413,17.42,,
19920414,16.82,,
19920414,16.82,,
19920415,16.36,,
19920415,16.36,,
19920416,15.17,,
19920416,15.17,,
19920420,16.15,,
19920420,16.15,,
19920421,16.00,,
19920421,16.00,,
19920422,16.03,,
19920422,16.03,,
19920423,16.10,,
19920423,16.10,,
19920424,15.73,,
19920424,15.73,,
19920427,16.93,,
19920427,16.93,,
19920428,16.56,,
19920428,16.56,,
19920429,16.38,,
19920429,16.38,,
19920430,15.86,,
19920430,15.86,,
19920501,14.87,,
19920501,14.87,,
19920504,16.70,,
19920504,16.70,,
19920505,15.56,,
19920505,15.56,,
19920506,16.11,,
19920506,16.11,,
19920507,15.80,,
19920507,15.80,,
19920508,16.18,,
19920508,16.18,,
19920511,15.87,,
19920511,15.87,,
19920512,15.40,,
19920512,15.40,,
19920513,15.88,,
19920513,15.88,,
19920514,14.38,,
19920514,14.38,,
19920515,14.38,,
19920515,14.38,,
19920518,15.17,,
19920518,15.17,,
19920519,13.95,,
19920519,13.95,,
19920520,12.98,,
19920520,12.98,,
19920521,14.01,,
19920521,14.01,,
19920522,14.03,,
19920522,14.03,,
19920526,13.93,,
19920526,13.93,,
19920527,13.84,,
