Date,fedfunds,Yield_1Y,Yield_2Y,Yield_5Y,Yield_7Y,Yield_10Y,Yield_20Y,Yield_30Y
19920102,4.61,4.17,4.71,6.00,6.46,6.66,7.35,7.32
19920103,4.06,4.19,4.75,6.08,6.53,6.72,7.38,7.34
19920106,4.04,4.09,4.69,6.03,6.50,6.69,7.32,7.29
19920107,3.67,4.08,4.64,5.96,6.42,6.63,7.28,7.25
19920108,4.83,4.03,4.59,5.98,6.44,6.65,7.29,7.26
19920109,4.22,4.08,4.66,6.03,6.48,6.66,7.30,7.28
19920110,3.96,4.16,4.72,6.11,6.56,6.72,7.36,7.32
19920113,3.98,4.22,4.84,6.19,6.62,6.79,7.39,7.35
19920114,3.95,4.24,4.88,6.32,6.76,6.90,7.44,7.39
19920115,4.04,4.26,4.98,6.35,6.78,6.91,7.47,7.42
19920116,3.94,4.24,4.99,6.40,6.86,6.99,7.55,7.50
19920117,3.56,4.23,4.95,6.35,6.82,6.95,7.51,7.46
19920121,4.11,4.14,4.86,6.26,6.72,6.89,7.47,7.42
19920122,4.82,4.13,4.89,6.26,6.76,6.95,7.52,7.47
19920123,4.15,4.18,4.97,6.33,6.84,7.06,7.60,7.55
19920124,3.96,4.26,5.04,6.39,6.90,7.10,7.60,7.56
19920127,4.08,4.26,5.07,6.40,6.90,7.10,7.61,7.56
19920128,4,4.21,5.01,6.31,6.81,7.02,7.55,7.51
19920129,3.93,4.26,5.06,6.41,6.90,7.11,7.65,7.60
19920130,4.02,4.28,5.07,6.48,6.94,7.17,7.69,7.63
19920131,4.4,4.36,5.06,6.41,6.93,7.24,7.67,7.61
19920203,4,4.31,5.07,6.50,6.99,7.28,7.72,7.66
19920204,3.83,4.30,5.05,6.45,6.92,7.22,7.66,7.60
19920205,4.17,4.26,5.01,6.40,6.87,7.13,7.64,7.59
19920206,4.1,4.25,4.99,6.39,6.85,7.15,7.64,7.60
19920207,3.89,4.15,4.89,6.37,6.83,7.14,7.66,7.61
19920210,3.95,4.10,4.87,6.37,6.82,7.14,7.67,7.63
19920211,3.91,4.15,4.91,6.39,6.84,7.17,7.68,7.64
19920212,3.9,4.18,4.99,6.44,6.90,7.22,7.69,7.65
19920213,4,4.26,5.11,6.57,7.02,7.31,7.79,7.75
19920214,4,4.29,5.17,6.63,7.03,7.32,7.79,7.75
19920218,4.81,4.29,5.14,6.65,7.09,7.36,7.84,7.81
19920219,4.57,4.32,5.17,6.63,7.06,7.33,7.80,7.77
19920220,4.1,4.34,5.19,6.63,7.05,7.32,7.78,7.74
19920221,3.9,4.47,5.34,6.72,7.12,7.36,7.82,7.78
19920224,4.04,4.48,5.35,6.75,7.15,7.37,7.84,7.81
19920225,3.97,4.47,5.29,6.72,7.12,7.34,7.81,7.78
19920226,3.93,4.43,5.24,6.62,7.03,7.23,7.72,7.69
19920227,3.96,4.39,5.22,6.61,7.05,7.25,7.72,7.70
19920228,4.13,4.41,5.19,6.47,6.98,7.18,7.66,7.65
19920302,4.32,4.52,5.35,6.62,7.09,7.28,7.76,7.73
19920303,4.02,4.58,5.38,6.64,7.12,7.32,7.79,7.76
19920304,3.86,4.57,5.40,6.64,7.12,7.32,7.78,7.74
19920305,4.08,4.69,5.53,6.75,7.20,7.40,7.82,7.79
19920306,3.95,4.66,5.51,6.73,7.18,7.36,7.81,7.76
19920309,4,4.61,5.43,6.65,7.11,7.31,7.77,7.72
19920310,3.87,4.63,5.46,6.66,7.11,7.32,7.78,7.73
19920311,3.83,4.66,5.48,6.74,7.20,7.39,7.84,7.79
19920312,3.94,4.78,5.63,6.88,7.31,7.49,7.93,7.88
19920313,3.85,4.88,5.75,6.98,7.42,7.56,7.95,7.90
19920316,4.28,4.63,5.76,6.99,7.41,7.56,7.96,7.90
19920317,4.14,4.79,5.72,6.92,7.34,7.49,7.91,7.86
19920318,4.4,4.78,5.73,6.92,7.33,7.49,7.91,7.85
19920319,4.09,4.75,5.68,6.88,7.29,7.44,7.88,7.82
19920320,3.9,4.81,5.74,6.96,7.35,7.51,7.94,7.88
19920323,3.98,4.79,5.74,6.94,7.34,7.49,7.93,7.87
19920324,3.86,4.72,5.67,6.84,7.24,7.40,7.83,7.78
19920325,3.95,4.65,5.59,6.82,7.23,7.39,7.82,7.78
19920326,4.07,4.61,5.58,6.83,7.27,7.43,7.87,7.82
19920327,3.85,4.64,5.56,6.81,7.25,7.41,7.83,7.78
19920330,3.94,4.59,5.50,6.77,7.23,7.40,7.83,7.79
19920331,4.07,4.62,5.54,6.90,7.26,7.40,7.84,7.80
19920401,4.98,4.55,5.48,6.80,7.18,7.31,7.79,7.74
19920402,4.15,4.57,5.49,6.82,7.20,7.32,7.80,7.76
19920403,3.97,4.46,5.33,6.73,7.14,7.29,7.76,7.72
19920406,3.99,4.42,5.30,6.70,7.12,7.27,7.76,7.72
19920407,3.92,4.41,5.31,6.69,7.12,7.28,7.76,7.73
19920408,3.87,4.39,5.28,6.71,7.14,7.32,7.80,7.77
19920409,3.76,4.13,5.03,6.56,7.03,7.21,7.72,7.69
19920410,3.44,4.18,5.09,6.58,7.04,7.23,7.75,7.73
19920413,3.74,4.14,5.05,6.54,6.99,7.19,7.71,7.70
19920414,3.68,4.12,5.08,6.55,7.00,7.21,7.73,7.72
19920415,4.02,4.17,5.14,6.60,7.03,7.23,7.73,7.71
19920416,3.78,4.25,5.24,6.69,7.11,7.33,7.79,7.77
19920420,3.75,4.29,5.32,6.82,7.24,7.44,7.88,7.86
19920421,3.83,4.27,5.32,6.80,7.24,7.43,7.90,7.86
19920422,3.72,4.29,5.30,6.79,7.22,7.43,7.90,7.87
19920423,3.68,4.28,5.30,6.82,7.25,7.45,7.93,7.90
19920424,3.63,4.23,5.21,6.76,7.20,7.39,7.91,7.89
19920427,3.84,4.29,5.28,6.79,7.24,7.44,7.95,7.93
19920428,3.5,4.27,5.26,6.79,7.21,7.41,7.91,7.89
19920429,3.62,4.26,5.25,6.79,7.22,7.44,7.92,7.91
19920430,3.85,4.37,5.36,6.83,7.24,7.44,7.92,7.89
19920501,3.75,4.30,5.25,6.75,7.19,7.41,7.88,7.85
19920504,3.8,4.28,5.26,6.75,7.20,7.42,7.90,7.86
19920505,3.77,4.24,5.23,6.72,7.17,7.40,7.88,7.85
19920506,3.71,4.23,5.18,6.67,7.13,7.35,7.85,7.81
19920507,3.74,4.26,5.28,6.71,7.15,7.36,7.86,7.84
19920508,3.71,4.22,5.22,6.63,7.08,7.29,7.77,7.74
19920511,3.88,4.20,5.15,6.62,7.05,7.26,7.76,7.73
19920512,3.75,4.16,5.10,6.57,7.01,7.24,7.73,7.70
19920513,4.37,4.12,5.03,6.55,6.98,7.21,7.72,7.70
19920514,3.93,4.11,5.01,6.54,6.97,7.21,7.73,7.71
19920515,3.96,4.10,5.00,6.51,6.93,7.14,7.67,7.65
19920518,3.88,4.08,4.97,6.49,6.92,7.14,7.68,7.66
19920519,3.8,4.01,4.84,6.38,6.83,7.07,7.64,7.61
19920520,3.75,4.03,4.95,6.46,6.87,7.10,7.66,7.64
19920521,3.85,4.19,5.12,6.66,7.05,7.25,7.73,7.70
19920522,3.74,4.21,5.07,6.58,6.99,7.20,7.70,7.67
19920526,4.02,4.25,5.13,6.67,7.08,7.29,7.79,7.76
19920527,3.78,4.21,5.08,6.63,7.05,7.28,7.79,7.75
19920528,3.87,4.20,5.02,6.56,6.97,7.24,7.76,7.71
19920529,3.8,4.26,5.04,6.51,6.93,7.19,7.72,7.68
19920601,3.96,4.31,5.11,6.58,6.99,7.22,7.78,7.74
19920602,3.89,4.27,5.02,6.52,6.96,7.20,7.75,7.71
19920603,3.82,4.26,5.00,6.50,6.94,7.19,7.75,7.72
19920604,3.78,4.26,5.00,6.51,6.94,7.19,7.75,7.72
19920605,3.61,4.19,4.95,6.46,6.89,7.15,7.72,7.69
19920608,3.72,4.20,4.90,6.46,6.90,7.15,7.72,7.69
19920609,3.57,4.22,4.94,6.48,6.92,7.17,7.75,7.72
19920610,3.96,4.25,4.94,6.48,6.93,7.19,7.77,7.74
19920611,3.8,4.21,4.92,6.45,6.90,7.17,7.76,7.72
19920612,3.65,4.17,4.88,6.38,6.86,7.13,7.73,7.70
19920615,3.88,4.15,4.86,6.38,6.85,7.11,7.73,7.69
19920616,3.74,4.14,4.82,6.33,6.80,7.06,7.71,7.68
19920617,3.72,4.14,4.80,6.32,6.77,7.04,7.69,7.66
19920618,3.71,4.13,4.76,6.28,6.74,7.03,7.67,7.65
19920619,3.66,4.22,4.82,6.32,6.79,7.09,7.70,7.67
19920622,3.85,4.17,4.78,6.32,6.77,7.07,7.71,7.68
19920623,3.7,4.19,4.83,6.37,6.81,7.10,7.73,7.70
19920624,3.81,4.12,4.73,6.28,6.75,7.04,7.70,7.67
19920625,3.87,4.08,4.67,6.21,6.68,6.98,7.65,7.62
19920626,3.67,4.07,4.67,6.22,6.71,6.99,7.65,7.63
19920629,3.8,4.05,4.66,6.17,6.68,6.96,7.64,7.62
19920630,4.53,4.06,4.78,6.23,6.71,7.00,7.66,7.63
19920701,3.89,4.05,4.77,6.20,6.69,6.97,7.62,7.61
19920702,3.46,3.76,4.50,5.97,6.50,6.80,7.48,7.48
19920706,3.15,3.71,4.44,5.91,6.46,6.77,7.47,7.47
19920707,3.35,3.67,4.36,5.86,6.41,6.74,7.47,7.46
19920708,4.19,3.66,4.30,5.87,6.44,6.78,7.47,7.46
19920709,3.46,3.65,4.33,5.88,6.43,6.78,7.47,7.46
19920710,3.2,3.64,4.31,5.86,6.42,6.79,7.50,7.48
19920713,3.28,3.63,4.31,5.88,6.45,6.83,7.54,7.52
19920714,3.25,3.59,4.27,5.84,6.43,6.83,7.55,7.53
19920715,3.38,3.51,4.21,5.73,6.37,6.77,7.50,7.49
19920716,3.32,3.50,4.18,5.74,6.34,6.74,7.47,7.47
19920717,3.12,3.52,4.19,5.75,6.37,6.77,7.52,7.53
19920720,3.32,3.48,4.19,5.75,6.36,6.77,7.50,7.51
19920721,3.15,3.54,4.24,5.75,6.35,6.76,7.50,7.51
19920722,3.4,3.52,4.20,5.69,6.31,6.72,7.46,7.47
19920723,3.29,3.51,4.11,5.56,6.17,6.60,7.37,7.39
19920724,3.08,3.53,4.16,5.59,6.19,6.61,7.39,7.42
19920727,3.29,3.53,4.19,5.60,6.15,6.56,7.35,7.38
19920728,3.27,3.51,4.17,5.57,6.10,6.50,7.27,7.29
